[2017-09-15 09:15:22] Shadowsocks started
[2017-09-15 09:16:37] Shadowsocks started
[2017-09-15 09:16:49] Detected: PAC file 'pac.txt' was created.
[2017-09-15 09:16:50] Detected: PAC file 'pac.txt' was changed.
[2017-09-15 09:17:24] Shadowsocks started
[2017-09-15 09:25:39] Shadowsocks started
[2017-09-15 09:26:01] Shadowsocks started
[2017-09-15 09:29:45] Shadowsocks started
[2017-09-15 09:30:04] Shadowsocks started
[2017-09-15 09:30:08] Shadowsocks started
[2017-09-15 09:34:14] Shadowsocks started
[2017-09-15 09:34:19] Shadowsocks started
[2017-09-15 09:34:23] Shadowsocks started
[2017-09-15 12:48:04] Shadowsocks started
[2017-10-04 14:34:28] Shadowsocks started
[2017-10-04 14:40:34] 104.225.237.215:8388 timed out
[2017-10-04 15:40:07] 104.225.237.215:8388 timed out
[2017-10-04 15:47:05] 104.225.237.215:8388 timed out
[2017-10-04 15:47:12] 104.225.237.215:8388 timed out
[2017-10-04 15:48:58] 104.225.237.215:8388 timed out
[2017-10-04 15:48:58] 104.225.237.215:8388 timed out
[2017-10-04 15:48:58] 104.225.237.215:8388 timed out
[2017-10-04 15:49:00] 104.225.237.215:8388 timed out
[2017-10-04 15:49:00] 104.225.237.215:8388 timed out
[2017-10-04 15:49:05] 104.225.237.215:8388 timed out
[2017-10-04 15:49:05] 104.225.237.215:8388 timed out
[2017-10-04 15:49:06] 104.225.237.215:8388 timed out
[2017-10-04 15:49:18] 104.225.237.215:8388 timed out
[2017-10-04 15:49:18] 104.225.237.215:8388 timed out
[2017-10-04 15:49:18] 104.225.237.215:8388 timed out
[2017-10-04 15:50:01] 104.225.237.215:8388 timed out
[2017-10-04 15:50:02] 104.225.237.215:8388 timed out
[2017-10-04 15:50:03] 104.225.237.215:8388 timed out
[2017-10-04 15:50:21] 104.225.237.215:8388 timed out
[2017-10-04 15:50:27] 104.225.237.215:8388 timed out
[2017-10-04 15:50:28] 104.225.237.215:8388 timed out
[2017-10-04 15:50:28] 104.225.237.215:8388 timed out
[2017-10-04 15:50:28] 104.225.237.215:8388 timed out
[2017-10-04 15:50:28] 104.225.237.215:8388 timed out
[2017-10-04 15:50:31] 104.225.237.215:8388 timed out
[2017-10-04 15:50:32] 104.225.237.215:8388 timed out
[2017-10-04 15:50:37] 104.225.237.215:8388 timed out
[2017-10-04 15:50:37] 104.225.237.215:8388 timed out
[2017-10-04 15:50:37] 104.225.237.215:8388 timed out
[2017-10-04 15:50:44] 104.225.237.215:8388 timed out
[2017-10-04 15:50:56] 104.225.237.215:8388 timed out
[2017-10-04 15:51:00] 104.225.237.215:8388 timed out
[2017-10-04 15:51:08] 104.225.237.215:8388 timed out
[2017-10-04 15:51:09] 104.225.237.215:8388 timed out
[2017-10-04 15:51:09] 104.225.237.215:8388 timed out
[2017-10-04 15:51:12] 104.225.237.215:8388 timed out
[2017-10-04 15:51:13] 104.225.237.215:8388 timed out
[2017-10-04 15:51:16] 104.225.237.215:8388 timed out
[2017-10-04 15:51:16] 104.225.237.215:8388 timed out
[2017-10-04 15:51:16] 104.225.237.215:8388 timed out
[2017-10-04 15:51:18] 104.225.237.215:8388 timed out
[2017-10-04 15:53:48] 104.225.237.215:8388 timed out
[2017-10-04 15:54:14] 104.225.237.215:8388 timed out
[2017-10-04 15:54:22] 104.225.237.215:8388 timed out
[2017-10-04 15:54:24] 104.225.237.215:8388 timed out
[2017-10-04 15:54:30] 104.225.237.215:8388 timed out
[2017-10-04 15:54:30] 104.225.237.215:8388 timed out
[2017-10-04 15:54:31] 104.225.237.215:8388 timed out
[2017-10-04 15:54:31] 104.225.237.215:8388 timed out
[2017-10-04 15:54:31] 104.225.237.215:8388 timed out
[2017-10-04 15:54:32] 104.225.237.215:8388 timed out
[2017-10-04 15:54:35] 104.225.237.215:8388 timed out
[2017-10-04 15:54:40] 104.225.237.215:8388 timed out
[2017-10-04 15:54:40] 104.225.237.215:8388 timed out
[2017-10-04 15:55:06] 104.225.237.215:8388 timed out
[2017-10-04 15:55:11] 104.225.237.215:8388 timed out
[2017-10-04 15:55:12] 104.225.237.215:8388 timed out
[2017-10-04 15:55:15] 104.225.237.215:8388 timed out
[2017-10-04 15:55:16] 104.225.237.215:8388 timed out
[2017-10-04 15:55:16] 104.225.237.215:8388 timed out
[2017-10-04 15:55:16] 104.225.237.215:8388 timed out
[2017-10-04 15:55:17] 104.225.237.215:8388 timed out
[2017-10-04 15:55:18] 104.225.237.215:8388 timed out
[2017-10-04 15:55:21] 104.225.237.215:8388 timed out
[2017-10-04 15:55:22] 104.225.237.215:8388 timed out
[2017-10-04 15:56:43] Shadowsocks started
[2017-10-04 15:57:26] 104.225.237.215:8388 timed out
[2017-10-04 15:57:26] 104.225.237.215:8388 timed out
[2017-10-04 15:57:26] 104.225.237.215:8388 timed out
[2017-10-04 15:57:26] 104.225.237.215:8388 timed out
[2017-10-04 15:57:39] 104.225.237.215:8388 timed out
[2017-10-04 15:57:45] 104.225.237.215:8388 timed out
[2017-10-04 15:57:45] 104.225.237.215:8388 timed out
[2017-10-04 15:58:27] 104.225.237.215:8388 timed out
[2017-10-04 15:58:37] 104.225.237.215:8388 timed out
[2017-10-04 15:58:49] 104.225.237.215:8388 timed out
[2017-10-04 15:58:49] 104.225.237.215:8388 timed out
[2017-10-04 15:59:13] 104.225.237.215:8388 timed out
[2017-10-05 13:52:24] Shadowsocks started
[2017-10-05 14:10:56] Shadowsocks started
[2017-10-05 14:22:58] 104.225.237.215:8388 timed out
[2017-10-05 14:23:14] 104.225.237.215:8388 timed out
[2017-10-05 14:23:14] 104.225.237.215:8388 timed out
[2017-10-05 14:23:23] 104.225.237.215:8388 timed out
[2017-10-05 14:23:25] 104.225.237.215:8388 timed out
[2017-10-05 14:23:30] 104.225.237.215:8388 timed out
[2017-10-05 14:23:45] 104.225.237.215:8388 timed out
[2017-10-05 14:23:56] 104.225.237.215:8388 timed out
[2017-10-05 14:24:00] 104.225.237.215:8388 timed out
[2017-10-05 14:24:39] 104.225.237.215:8388 timed out
[2017-10-05 14:27:36] 104.225.237.215:8388 timed out
[2017-10-05 14:27:38] 104.225.237.215:8388 timed out
[2017-10-05 14:27:46] 104.225.237.215:8388 timed out
[2017-10-05 14:27:48] 104.225.237.215:8388 timed out
[2017-10-05 14:27:48] 104.225.237.215:8388 timed out
[2017-10-05 14:27:48] 104.225.237.215:8388 timed out
[2017-10-05 14:27:48] 104.225.237.215:8388 timed out
[2017-10-05 14:27:48] 104.225.237.215:8388 timed out
[2017-10-05 14:27:48] 104.225.237.215:8388 timed out
[2017-10-05 14:27:49] 104.225.237.215:8388 timed out
[2017-10-05 14:27:52] 104.225.237.215:8388 timed out
[2017-10-05 14:27:53] 104.225.237.215:8388 timed out
[2017-10-05 14:28:08] 104.225.237.215:8388 timed out
[2017-10-05 14:28:38] 104.225.237.215:8388 timed out
[2017-10-05 14:28:38] 104.225.237.215:8388 timed out
[2017-10-05 14:28:41] 104.225.237.215:8388 timed out
[2017-10-05 14:28:47] 104.225.237.215:8388 timed out
[2017-10-05 14:28:52] 104.225.237.215:8388 timed out
[2017-10-05 14:28:57] 104.225.237.215:8388 timed out
[2017-10-05 14:29:18] 104.225.237.215:8388 timed out
[2017-10-05 14:29:18] 104.225.237.215:8388 timed out
[2017-10-05 14:29:18] 104.225.237.215:8388 timed out
[2017-10-05 14:29:28] 104.225.237.215:8388 timed out
[2017-10-05 14:29:41] 104.225.237.215:8388 timed out
[2017-10-05 14:29:59] 104.225.237.215:8388 timed out
[2017-10-05 14:30:29] 104.225.237.215:8388 timed out
[2017-10-05 14:30:34] 104.225.237.215:8388 timed out
[2017-10-05 14:30:34] 104.225.237.215:8388 timed out
[2017-10-05 14:30:36] 104.225.237.215:8388 timed out
[2017-10-05 14:31:02] 104.225.237.215:8388 timed out
[2017-10-05 14:31:07] 104.225.237.215:8388 timed out
[2017-10-05 14:31:39] 104.225.237.215:8388 timed out
[2017-10-05 14:31:40] 104.225.237.215:8388 timed out
[2017-10-05 14:31:42] 104.225.237.215:8388 timed out
[2017-10-05 14:31:42] 104.225.237.215:8388 timed out
[2017-10-05 14:34:15] 104.225.237.215:8388 timed out
[2017-10-05 14:34:15] 104.225.237.215:8388 timed out
[2017-10-05 14:35:14] 104.225.237.215:8388 timed out
[2017-10-05 14:35:14] 104.225.237.215:8388 timed out
[2017-10-05 14:35:14] 104.225.237.215:8388 timed out
[2017-10-05 14:36:42] 104.225.237.215:8388 timed out
[2017-10-05 14:42:34] 104.225.237.215:8388 timed out
[2017-10-05 14:42:51] 104.225.237.215:8388 timed out
[2017-10-05 14:42:51] 104.225.237.215:8388 timed out
[2017-10-05 14:42:51] 104.225.237.215:8388 timed out
[2017-10-05 14:42:56] 104.225.237.215:8388 timed out
